player_name,team_abbrev,salary_2025_26,total_guaranteed,AGE,GP,TS_PCT,PIE,USG_PCT,PTS,REB,AST,team_wins,team_win_pct
Yves Missi,NOP,3353040.0,6865800.0,21.0,73,0.572,0.09,0.141,9.1,8.2,1.4,21,0.256
Blake Wesley,WAS,5643732.0,3347458.0,22.0,58,0.51,0.066,0.165,3.7,1.1,2.0,18,0.22
Taurean Prince,MIL,3303774.0,3303774.0,31.0,80,0.613,0.064,0.123,8.2,3.6,1.9,48,0.585
Kris Murray,POR,3132000.0,8447004.0,24.0,69,0.472,0.061,0.133,4.2,2.6,1.0,36,0.439
AJ Johnson,DAL,3090480.0,6327600.0,20.0,29,0.48,0.053,0.173,7.6,2.0,2.6,39,0.476
De'Anthony Melton,GSW,3080921.0,3080921.0,27.0,6,0.539,0.091,0.223,10.3,3.3,2.8,48,0.585
Kyle Filipowski,UTA,3000000.0,3000000.0,21.0,72,0.594,0.103,0.184,9.6,6.1,1.9,17,0.207
Ajay Mitchell,OKC,3000000.0,3000000.0,23.0,36,0.587,0.082,0.159,6.5,1.9,1.8,68,0.829
Julian Champagnie,SAS,3000000.0,,24.0,82,0.577,0.079,0.164,9.9,3.9,1.4,34,0.415
Kyshawn George,WAS,2966760.0,6074760.0,21.0,68,0.503,0.058,0.156,8.7,4.2,2.5,18,0.22
Marcus Sasser,DET,2886720.0,8085703.0,24.0,57,0.589,0.095,0.187,6.6,1.2,2.3,44,0.537
Ben Sheppard,IND,2790720.0,7822389.0,23.0,63,0.555,0.055,0.108,5.3,2.8,1.3,50,0.61
Dillon Jones,WAS,2753280.0,2753280.0,23.0,54,0.464,0.066,0.131,2.5,2.2,1.1,18,0.22
Brice Sensabaugh,UTA,2693760.0,7555997.0,21.0,71,0.612,0.087,0.208,10.9,3.0,1.5,17,0.207
Julian Strawther,DEN,2674200.0,7501131.0,23.0,65,0.559,0.057,0.173,9.0,2.2,1.3,50,0.61
Terrence Shannon Jr.,MIN,2674080.0,5475720.0,24.0,32,0.56,0.082,0.166,4.3,1.5,1.0,49,0.598
Isaiah Collier,UTA,2638200.0,5402160.0,20.0,71,0.494,0.077,0.186,8.7,3.3,6.3,17,0.207
Baylor Scheierman,BOS,2619000.0,5363040.0,24.0,31,0.49,0.074,0.143,3.6,2.1,1.1,61,0.744
Cam Spencer,MEM,2537989.0,7565833.0,25.0,25,0.587,0.087,0.148,4.2,1.2,1.4,48,0.585
Sandro Mamukelashvili,TOR,2461463.0,2461463.0,26.0,61,0.628,0.124,0.202,6.3,3.1,0.8,30,0.366
